,EU Gov,EU Corps,Greek Gov,US Equity,EU Equity,EU Flot,Cash
9/4/2015,241.7019,211.1712,154,1914.96,6056.57,129.8471,72.243134
9/11/2015,241.7014,211.1866,159.55,1930.26,6092.34,129.8272,72.242783
9/18/2015,242.4467,211.0237,164.93,1911.88,6069.99,129.8017,72.242348
9/25/2015,242.402,210.5544,163.93,1927.76,6013.25,129.7076,72.241913
10/2/2015,244.6903,210.3178,166.21,1929.4,5983.06,129.6163,72.241478
10/9/2015,243.5376,210.7517,170.53,1977.27,6233.03,129.5976,72.241028
10/16/2015,244.5886,210.9656,169.93,2002.9,6283.94,129.59,72.240547
10/23/2015,245.9208,211.5206,174.82,2127.01,6509.17,129.6045,72.240059
10/30/2015,245.9445,211.6414,169.81,2131.03,6468.26,129.6378,72.239571
11/6/2015,242.9052,211.5747,172.73,2222.35,6547.73,129.6491,72.239082
11/13/2015,245.0131,212.0038,177.44,2141.59,6379.35,129.6738,72.238594
11/20/2015,246.7462,212.3218,177.57,2226.55,6597.71,129.6961,72.238136
11/27/2015,247.4194,212.6052,175.58,2240.03,6620.28,129.7258,72.237701
12/4/2015,243.9743,211.8121,165.92,2192.84,6338.95,129.7458,72.237282
12/11/2015,245.9975,211.9589,162.53,2092.02,6087.81,129.7503,72.236687
12/18/2015,245.7481,211.9277,168.26,2121.05,6180.88,129.7466,72.235695
12/25/2015,244.1394,211.758,167.87,2149.8,6270.46,129.7506,72.234848
1/1/2016,244.531,211.8799,167.75,2152.29,6254.61,129.7566,72.233856
1/8/2016,245.6869,212.0206,161.81,2016.74,5826.07,129.7726,72.232719
1/15/2016,246.1396,211.4936,160.18,1976.33,5652.47,129.7346,72.23172
1/22/2016,246.6585,211.5872,155.54,2030.53,5799.04,129.7104,72.230728
1/29/2016,249.3167,212.2429,152.9,2071.25,5859.81,129.7262,72.229729
2/5/2016,248.8426,212.0436,154.19,1944.56,5553.56,129.7085,72.228722
2/12/2016,248.4242,211.4754,138.84,1925.46,5360.07,129.5672,72.227722
2/19/2016,249.6554,212.0916,148.8,1994.68,5541.79,129.5929,72.22673
2/26/2016,250.8124,212.4458,151.05,2047.88,5648.67,129.62,72.225731
3/4/2016,249.7599,212.9005,156.48,2078.69,5815.12,129.6836,72.225441
3/11/2016,250.4592,213.4423,165.91,2071.18,5825.88,129.7827,72.224907
3/18/2016,251.627,213.64,168.36,2068.5,5773.73,129.8049,72.22377
3/25/2016,251.9586,213.8418,165.8,2091.16,5667.01,129.831,72.222313
4/1/2016,253.1145,214.1092,168.24,2093.64,5598.44,129.8772,72.220375
4/8/2016,252.986,214.4031,163.53,2062.83,5617.66,129.8883,72.218674
4/15/2016,252.4885,214.504,163.84,2112.86,5863.56,129.9393,72.21698
4/22/2016,250.7138,214.8038,170.93,2127.88,5998,129.9996,72.215286
4/29/2016,250.0178,214.5876,170.72,2056.03,5848.71,130.0222,72.213585
5/6/2016,251.5622,214.8715,171.49,2060.97,5680.51,130.0288,72.211891
5/13/2016,251.9272,214.7127,182.13,2076.31,5774.6,130.0339,72.210197
5/20/2016,251.5483,214.5992,183.04,2097.51,5817.4,130.0416,72.208504
5/27/2016,252.6411,214.9415,186.39,2161.79,6057.2,130.0675,72.206802
6/3/2016,253.737,215.2276,185.74,2118.25,5893.13,130.0807,72.205185
6/10/2016,255.083,215.469,183.72,2125.28,5764.08,130.1047,72.204376
